Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Brim Fiyat;KDV Tutarı;OIV Tutarı;Ödenecek Tutar;Kur;Birim Fiyat Dolar;KDV Dolar
Bekkiler;11.09.2023;BTE2023000002792;"DELL VOSTRO 3520 İ7-1255U 16GB 512GB 15.6"" 120HZ W11PRO";DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;1,00;22593,73;4518,75;0,00;27112,48;26,90;840,00;168,00
Bekkiler;13.09.2023;BNF2023000000448;NETOLOJİ BPM ENTERPRİSE VERSİYON YAZİLİMİ;EFLOW YAZILIM G.;BTENET YAZILIM VE PROJE HİZ.;1,00;32395,00;6479,00;0,00;38874,00;0,00;0,00;0,00
Beksan;20.09.2023;AAA2023000000314;DEVELOP DR 411 ORJ. DRUM;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;2507,98;501,60;0,00;3009,57;0,00;0,00;0,00
Beksan;20.09.2023;AAA2023000000314;DEVELOP DR114 ORJ DRUM BLADE    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;1095,44;219,09;0,00;1314,52;0,00;0,00;0,00
Beksan;20.09.2023;AAA2023000000314;DV116 STARTER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;864,82;172,96;0,00;1037,78;0,00;0,00;0,00
Beksan;20.09.2023;AAA2023000000314;COLLER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;144,14;57,65;0,00;345,92;0,00;0,00;0,00
Beksan;20.09.2023;AAA2023000000314;SERVİS ÜCRETİ    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;550,00;110,00;0,00;660,00;0,00;0,00;0,00
Beksan;22.09.2023;BNF2023000000460;PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,94;4000,00;1552,00;0,00;9312,00;0,00;0,00;0,00
Beksan;25.09.2023;ANE2023000002299;WELLPOWER 6V 2A ADAPTÖR;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;70,00;14,00;0,00;84,00;0,00;0,00;0,00
Bekkiler;25.09.2023;AAA2023000000316;CANON 057H MUADİL TONER ;YAZICI G.;OFİS BÜRO MAKİNALARI;3,00;515,90;309,54;0,00;1857,25;0,00;0,00;0,00
Beksan;26.09.2023;BNF2023000000577;AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;4250,00;850,00;0,00;5100,00;0,00;0,00;0,00
Beksan;26.09.2023;AAA2023000000320;DEVELOP DR 411 ORJ. DRUM;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;2507,98;501,60;0,00;3009,57;0,00;0,00;0,00
Beksan;26.09.2023;AAA2023000000320;DEVELOP DR114 ORJ DRUM BLADE    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;1095,44;219,09;0,00;1314,52;0,00;0,00;0,00
Beksan;26.09.2023;AAA2023000000320;DV116 STARTER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;864,82;172,96;0,00;1037,78;0,00;0,00;0,00
Beksan;26.09.2023;AAA2023000000320;COLLER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;144,14;57,65;0,00;345,92;0,00;0,00;0,00
Beksan;26.09.2023;AAA2023000000320;SERVİS ÜCRETİ    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;550,00;110,00;0,00;660,00;0,00;0,00;0,00
